,away_corner,away_half_score,away_rank,away_red,away_score,away_team,away_yellow,competition_id,home_corner,home_half_score,home_rank,home_red,home_score,home_team,home_yellow,match_id,open_date,season_id,season_name
54,-1,1,,0,2,10250,0,82,-1,1,,0,2,10179,0,100054,1061924400,376,2003-2004
55,-1,0,,0,0,10411,0,82,-1,0,,0,2,10215,0,100055,1062009900,376,2003-2004
56,-1,0,,0,0,10183,0,82,-1,0,,0,0,10249,0,100056,1062010800,376,2003-2004
57,-1,0,,0,0,10226,0,82,-1,1,,0,1,10135,0,100057,1062010800,376,2003-2004
58,-1,0,,0,0,10180,0,82,-1,0,,0,0,10008,0,100058,1066157100,376,2003-2004
59,-1,1,,0,3,10136,0,82,-1,2,,0,2,10018,0,100059,1066761900,376,2003-2004
60,-1,2,,0,3,10249,0,82,-1,0,,0,0,10250,0,100060,1062243000,376,2003-2004
61,-1,0,,0,1,10247,0,82,-1,3,,0,3,10411,0,100061,1062252000,376,2003-2004
62,-1,0,,0,0,10179,0,82,-1,0,,0,0,10007,0,100062,1062252000,376,2003-2004
63,-1,1,,0,2,10006,0,82,-1,1,,0,2,10180,0,100063,1062252000,376,2003-2004
64,-1,1,,0,3,10175,0,82,-1,0,,0,2,10004,0,100064,1062252000,376,2003-2004
65,-1,0,,0,1,10008,0,82,-1,0,,0,0,10136,0,100065,1062252000,376,2003-2004
66,-1,3,,0,3,10018,0,82,-1,0,,0,0,10183,0,100066,1062252000,376,2003-2004
67,-1,0,,0,0,10185,0,82,-1,0,,0,0,10226,0,100067,1062252000,376,2003-2004
68,-1,0,,0,0,10135,0,82,-1,0,,0,1,10182,0,100068,1062334800,376,2003-2004
69,-1,0,,0,2,10215,0,82,-1,1,,0,1,10181,0,100069,1062342300,376,2003-2004
70,-1,1,,0,1,10185,0,82,-1,1,,0,1,10215,0,100070,1063461600,376,2003-2004
71,-1,1,,0,3,10249,0,82,-1,1,,0,1,10006,0,100071,1063461600,376,2003-2004
72,-1,0,,0,0,10004,0,82,-1,1,,0,2,10007,0,100072,1063461600,376,2003-2004
73,-1,0,,0,2,10135,0,82,-1,0,,0,0,10179,0,100073,1063461600,376,2003-2004
74,-1,1,,0,2,10183,0,82,-1,2,,0,4,10180,0,100074,1063461600,376,2003-2004
75,-1,0,,0,2,10136,0,82,-1,0,,0,2,10250,0,100075,1063461600,376,2003-2004
76,-1,0,,0,0,10226,0,82,-1,1,,0,2,10182,0,100076,1063461600,376,2003-2004
77,-1,1,,0,1,10411,0,82,-1,0,,0,4,10181,0,100077,1063544400,376,2003-2004
78,-1,1,,0,2,10018,0,82,-1,1,,0,2,10008,0,100078,1063551900,376,2003-2004
79,-1,0,,0,0,10175,0,82,-1,2,,0,4,10247,0,100079,1063652400,376,2003-2004
80,-1,2,,0,5,10180,0,82,-1,0,,0,0,10226,0,100080,1064057400,376,2003-2004
81,-1,0,,0,2,10181,0,82,-1,0,,0,2,10018,0,100081,1064066400,376,2003-2004
82,-1,0,,0,1,10247,0,82,-1,1,,0,2,10249,0,100082,1064066400,376,2003-2004
83,-1,2,,0,2,10006,0,82,-1,0,,0,1,10185,0,100083,1064066400,376,2003-2004
84,-1,0,,0,1,10179,0,82,-1,1,,0,2,10411,0,100084,1064066400,376,2003-2004
85,-1,0,,0,2,10008,0,82,-1,0,,0,0,10175,0,100085,1064066400,376,2003-2004
86,-1,0,,0,0,10007,0,82,-1,0,,0,0,10136,0,100086,1064066400,376,2003-2004
87,-1,2,,0,3,10182,0,82,-1,0,,0,1,10183,0,100087,1064066400,376,2003-2004
88,-1,0,,0,0,10250,0,82,-1,1,,0,1,10004,0,100088,1064149200,376,2003-2004
