,match_id,competition_id,open_date,home_team,away_team,home_rank,home_score,home_half_score,home_red,home_yellow,home_corner,away_rank,away_score,away_half_score,away_red,away_yellow,away_corner,season_id,season_name
0,100000,82,1065267000,10249,10215,,1,1,0,0,-1,,2,1,0,0,-1,376,2003-2004
1,100001,82,1065276000,10018,10247,,2,1,0,0,-1,,0,0,0,0,-1,376,2003-2004
2,100002,82,1065276000,10175,10006,,2,2,0,0,-1,,1,0,0,0,-1,376,2003-2004
3,100003,82,1065276000,10135,10008,,3,1,0,0,-1,,0,0,0,0,-1,376,2003-2004
4,100004,82,1065276000,10136,10182,,1,1,0,0,-1,,0,0,0,0,-1,376,2003-2004
5,100005,82,1065276000,10185,10179,,1,1,0,0,-1,,2,0,0,0,-1,376,2003-2004
6,100006,82,1065276000,10183,10250,,3,1,0,0,-1,,0,0,0,0,-1,376,2003-2004
7,100007,82,1065276000,10226,10181,,1,0,0,0,-1,,0,0,0,0,-1,376,2003-2004
8,100008,82,1065358800,10004,10180,,1,0,0,0,-1,,2,1,0,0,-1,376,2003-2004
9,100009,82,1065366300,10411,10007,,1,0,0,0,-1,,1,0,0,0,-1,376,2003-2004
10,100010,82,1066474800,10175,10135,,0,0,0,0,-1,,1,0,0,0,-1,376,2003-2004
11,100011,82,1066485600,10215,10180,,2,1,0,0,-1,,1,1,0,0,-1,376,2003-2004
12,100012,82,1066485600,10018,10226,,0,0,0,0,-1,,0,0,0,0,-1,376,2003-2004
13,100013,82,1066485600,10181,10007,,6,1,0,0,-1,,2,1,0,0,-1,376,2003-2004
14,100014,82,1066485600,10004,10136,,0,0,0,0,-1,,1,1,0,0,-1,376,2003-2004
15,100015,82,1066485600,10185,10249,,1,1,0,0,-1,,0,0,0,0,-1,376,2003-2004
16,100016,82,1066561200,10008,10411,,0,0,0,0,-1,,0,0,0,0,-1,376,2003-2004
17,100017,82,1066568400,10247,10183,,1,1,0,0,-1,,2,0,0,0,-1,376,2003-2004
18,100018,82,1066575900,10250,10182,,0,0,0,0,-1,,0,0,0,0,-1,376,2003-2004
19,100019,82,1066676400,10006,10179,,0,0,0,0,-1,,1,1,0,0,-1,376,2003-2004
