,match_id,status,competition_id,open_date,home_team,away_team,home_rank,home_score,home_half_score,home_red,home_yellow,home_corner,away_rank,away_score,away_half_score,away_red,away_yellow,away_corner
0,100000,8,82,1065267000,10249,10215,,1,1,0,0,-1,,2,1,0,0,-1
1,100001,8,82,1065276000,10018,10247,,2,1,0,0,-1,,0,0,0,0,-1
2,100002,8,82,1065276000,10175,10006,,2,2,0,0,-1,,1,0,0,0,-1
3,100003,8,82,1065276000,10135,10008,,3,1,0,0,-1,,0,0,0,0,-1
4,100004,8,82,1065276000,10136,10182,,1,1,0,0,-1,,0,0,0,0,-1
5,100005,8,82,1065276000,10185,10179,,1,1,0,0,-1,,2,0,0,0,-1
6,100006,8,82,1065276000,10183,10250,,3,1,0,0,-1,,0,0,0,0,-1
7,100007,8,82,1065276000,10226,10181,,1,0,0,0,-1,,0,0,0,0,-1
8,100008,8,82,1065358800,10004,10180,,1,0,0,0,-1,,2,1,0,0,-1
9,100009,8,82,1065366300,10411,10007,,1,0,0,0,-1,,1,0,0,0,-1
10,100010,8,82,1066474800,10175,10135,,0,0,0,0,-1,,1,0,0,0,-1
11,100011,8,82,1066485600,10215,10180,,2,1,0,0,-1,,1,1,0,0,-1
12,100012,8,82,1066485600,10018,10226,,0,0,0,0,-1,,0,0,0,0,-1
13,100013,8,82,1066485600,10181,10007,,6,1,0,0,-1,,2,1,0,0,-1
14,100014,8,82,1066485600,10004,10136,,0,0,0,0,-1,,1,1,0,0,-1
15,100015,8,82,1066485600,10185,10249,,1,1,0,0,-1,,0,0,0,0,-1
16,100016,8,82,1066561200,10008,10411,,0,0,0,0,-1,,0,0,0,0,-1
17,100017,8,82,1066568400,10247,10183,,1,1,0,0,-1,,2,0,0,0,-1
18,100018,8,82,1066575900,10250,10182,,0,0,0,0,-1,,0,0,0,0,-1
19,100019,8,82,1066676400,10006,10179,,0,0,0,0,-1,,1,1,0,0,-1
20,100020,8,82,1084015800,10135,10180,,1,0,0,0,-1,,1,1,0,0,-1
21,100021,8,82,1084024800,10250,10007,,1,0,0,0,-1,,2,1,0,0,-1
22,100022,8,82,1084024800,10175,10179,,3,2,0,0,-1,,3,1,0,0,-1
23,100023,8,82,1084024800,10247,10185,,3,2,0,0,-1,,1,0,0,0,-1
24,100024,8,82,1084024800,10004,10181,,2,2,0,0,-1,,1,1,0,0,-1
25,100025,8,82,1084024800,10182,10411,,1,1,0,0,-1,,1,1,0,0,-1
26,100026,8,82,1084024800,10183,10006,,1,1,0,0,-1,,0,0,0,0,-1
27,100027,8,82,1084034100,10008,10249,,0,0,0,0,-1,,3,1,0,0,-1
28,100028,8,82,1084111200,10136,10226,,1,1,0,0,-1,,1,0,0,0,-1
29,100029,8,82,1084115100,10018,10215,,0,0,0,0,-1,,1,1,0,0,-1
