,match_id,match_count,model_count,change_count,league_count,won,drawn,lost
3821,104339,8653,389,767,34,0.130000,0.160000,0.710000
3822,104340,88769,16816,996,5,0.570000,0.240000,0.190000
3823,104341,109310,18471,976,32,0.510000,0.260000,0.230000
3824,104342,183831,26636,1012,24,0.430000,0.290000,0.280000
3825,104343,5346,1501,649,3,0.840000,0.100000,0.060000
3826,104344,189549,26881,1002,9,0.430000,0.290000,0.280000
3827,104345,13931,3610,820,8,0.780000,0.140000,0.080000
3828,104346,113012,19717,991,29,0.520000,0.260000,0.220000
3829,104347,24591,1626,898,21,0.200000,0.220000,0.580000
3830,104348,51708,4220,937,33,0.240000,0.250000,0.510000
3831,104349,186310,22607,1017,7,0.360000,0.290000,0.350000
3832,104350,200534,26858,1030,35,0.400000,0.290000,0.310000
3833,104351,42433,9277,933,1,0.660000,0.210000,0.130000
3834,104352,54135,11378,959,3,0.630000,0.220000,0.150000
3835,104353,23095,1439,899,7,0.190000,0.220000,0.590000
3836,104354,113012,19717,991,29,0.520000,0.260000,0.220000
3837,104355,213143,27383,1040,8,0.390000,0.290000,0.320000
3838,104356,182979,22507,1017,30,0.370000,0.290000,0.340000
3839,104357,27308,6352,885,8,0.700000,0.190000,0.110000
3840,104358,23095,1439,899,7,0.190000,0.220000,0.590000
3841,104359,128631,21457,988,9,0.500000,0.270000,0.230000
3842,104360,42433,9277,933,1,0.660000,0.210000,0.130000
3843,104361,66207,13337,973,24,0.600000,0.230000,0.170000
3844,104362,200534,26858,1030,35,0.400000,0.290000,0.310000
3845,104363,27312,6352,885,12,0.700000,0.190000,0.110000
3846,104364,42438,9277,933,6,0.660000,0.210000,0.130000
3847,104365,188627,28030,1018,23,0.450000,0.280000,0.270000
3848,104366,204029,27452,1032,20,0.400000,0.280000,0.320000
3849,104367,81077,15039,979,35,0.560000,0.250000,0.190000
3850,104368,13701,717,837,12,0.160000,0.190000,0.650000
3851,104369,54135,11378,959,3,0.630000,0.220000,0.150000
3852,104370,88758,16813,996,33,0.570000,0.240000,0.190000
3853,104371,128631,21457,988,9,0.500000,0.270000,0.230000
3854,104372,23096,1439,899,8,0.190000,0.220000,0.590000
3855,104373,209319,29059,1028,6,0.420000,0.280000,0.300000
3856,104374,128631,21457,988,9,0.500000,0.270000,0.230000
3857,104375,132777,21660,994,21,0.490000,0.270000,0.240000
3858,104376,185963,27097,1017,11,0.440000,0.280000,0.280000
3859,104377,27308,6352,885,8,0.700000,0.190000,0.110000
3860,104378,209319,29059,1028,6,0.420000,0.280000,0.300000
3861,104379,186847,27681,1015,37,0.440000,0.280000,0.280000
3862,104380,137645,14932,994,14,0.330000,0.280000,0.390000
3863,104381,113012,19717,991,29,0.520000,0.260000,0.220000
3864,104382,18321,1040,884,30,0.170000,0.200000,0.630000
3865,104383,7126,1931,704,28,0.810000,0.120000,0.070000
3866,104384,158179,24335,997,34,0.460000,0.280000,0.260000
3867,104385,17306,4223,837,29,0.730000,0.160000,0.110000
3868,104386,172559,19797,1014,23,0.340000,0.280000,0.380000
3869,104387,213143,27383,1040,8,0.390000,0.290000,0.320000
3870,104388,54135,11378,959,3,0.630000,0.220000,0.150000
3871,104389,128534,21417,988,29,0.500000,0.270000,0.230000
3872,104390,18321,1040,884,30,0.170000,0.200000,0.630000
3873,104391,13255,3379,797,34,0.760000,0.140000,0.100000
3874,104392,111813,19482,990,0,0.520000,0.260000,0.220000
3875,104393,128534,21417,988,29,0.500000,0.270000,0.230000
3876,104394,192143,23379,1019,29,0.370000,0.290000,0.340000
3877,104395,27308,6352,885,8,0.700000,0.190000,0.110000
3878,104396,198854,28522,1016,32,0.430000,0.280000,0.290000
3879,104397,182794,26897,1008,1,0.440000,0.290000,0.270000
3880,104398,209319,29059,1028,6,0.420000,0.280000,0.300000
3881,104399,209319,29059,1028,6,0.420000,0.280000,0.300000
